Article S/N,Country Code,Country,Region,Date,Journal,h Index,Title,,Full Article,Primary or review article,Was the work done locally?,Were the flies sourced locally?,"If sourced abroad, where?",Is it transgenic?,Model,A,Is it Neuroscience oriented?,Number of affiliated institutions,Intra collaboration,Name of local institution 1,First Author's Institution,,Name of local institution 2,,Name of local institution 3,Name of local institution 4,External collaboration 1,EC,Internal Colaboration,IC,IEC,Country of external collaboration 1,Country of external collaboration 2,Country of external collaboration 3,Number of Funders,Funded/Not funded,Funding,Local Funder 1,Local Funder_1,Local Funder_1_Country,Local Funder 2,Local Funder_2,Local Funder_2_Country,International Funder 1,International Funder_1,International Funder_1_Country,International Funder 2,International Funder_2,International Funder_2_Country,International Funder 3,International Funder_3,International Funder_3_Country,
33,22,Kenya,East Africa,2017,PLoS One,,At Lunch with a Killer: The Effect of Weaver Ants on Host-Parasitoid Interactions on Mango,,1,Primary,1,1,,0,Fruit flies,,0,3,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",21,,,,,1,1,,,1,Germany,Australia,,1,1,2,,,,,,,German Ministry for Economic Cooperation and Development ,GMECD,Germany,,,,,,,
34,22,Kenya,East Africa,2015,Zookeys,,"Comparative analysis of development and survival of two Natal fruit fly Ceratitis rosa Karsch (Diptera, Tephritidae) populations from Kenya and South Africa",,1,Primary,1,0,South Africa,0,Fruit flies,,0,2,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",21,,,,,1,,South Africa,2,2,,,,2,1,2,,,,,,,The International Atomic Energy Agency (IAEA) ,IAEA,Austria,"Citrus Research International, South Africa",CRI ,South africa,,,,
36,22,Kenya,East Africa,2014,J Econ Entomol,,Comparison of food-based attractants for Bactrocera invadens (Diptera: Tephritidae) and evaluation of mazoferm-spinosad bait spray for field suppression in mango,,1,Primary,1,1,,0,Fruit flies,,0,1,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",21,,,,,,,,,0,,,,1,1,2,,,,,,,German Ministry for Economic Cooperation and Development ,GMECD,Germany,,,,,,,
37,22,Kenya,East Africa,2013,Insects,,Horizontal Transmission of Metarhizium anisopliae in Fruit Flies and Effect of Fungal Infection on Egg Laying and Fertility,,1,Primary,1,1,,0,Fruit flies,,0,2,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",21,,,,,1,,Zimbabwe,2,2,,,,3,1,2,,,,,,,IFAD funded African Fruit Fly Initiative project (AFFI),IFAD,Italy,"DAAD, Germany",DAAD,Germany,,,,
38,22,Kenya,East Africa,2012,J Econ Entomol,,Evidence for potential of managing some African fruit fly species (Diptera: Tephritidae) using the mango fruit fly host-marking pheromone,,1,Primary,1,1,,0,Fruit flies,,0,3,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",21,"Jomo Kenyatta University of Agriculture and Technology Nairobi, Kenya","JKUAT Nairobi, Kenya",,,1,1,,,1,USA,,,1,1,2,,,,,,,German Academic Exchange Service,DAAD,Germany,,,,,,,
39,22,Kenya,East Africa,2012,J Econ Entomol,,Cold tolerance and disinfestation of Bactrocera invadens (Diptera: Tephritidae) in 'Hass' avocado,,1,Primary,1,1,,0,Fruit flies,,0,1,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",21,,,,,1,,South Africa,2,2,,,,2,1,3,"ICIPE, Kenya",ICIPE Kenya,Kenya,,SAAGA,South Africa,,,,,,,,,,
40,22,Kenya,East Africa,2012,PLoS One,,"Taxonomic identity of the invasive fruit fly pest, Bactrocera invadens: concordance in morphometry and DNA barcoding",,1,Primary,1,1,,0,Fruit flies,,0,4,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",21,"Kenyatta University Nairobi, Kenya","KU Nairobi, Kenya","Molecular Biology and Biotechnology Department, International Centre of Insect Physiology and Ecology (icipe), Nairobi, Kenya",MBBD ICIPE Kenya,1,1,,,1,Belgium,,,2,1,2,,,,,,,The International Atomic Energy Agency (IAEA) ,IAEA,Austria,the German Ministry of Economic Cooperation and Development (BMZ),GMED,Germany,,,,
41,22,Kenya,East Africa,2011,J Econ Entomol,,Cold susceptibility and disinfestation of Bactrocera invadens (Diptera: Tephritidae) in oranges,,1,Primary,1,1,,0,Fruit flies,,0,2,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",21,,,,,1,,South Africa,2,2,,,,2,1,1,"ICIPE, Kenya",ICIPE Kenya,Kenya,,,,,,,,,,,,,
42,22,Kenya,East Africa,2009,J Econ Entomol,,Evidence for competitive displacement of Ceratitis cosyra by the invasive fruit fly Bactrocera invadens (Diptera: Tephritidae) on mango and mechanisms contributing to the displacement,,1,Primary,1,1,,0,Fruit flies,,0,1,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",21,,,,,,,,,0,,,,2,1,3,international fund for agricultural development (ifad) kenya,IFAD Kenya,Kenya,,,,GermanMinistry for Economic Cooperation and Development (BMZ),GMECD,Germany,,,,,,,
43,22,Kenya,East Africa,2008,Bull Entomol Res,,Comparison of five allopatric fruit fly parasitoid populations (Psyttalia species) (Hymenoptera: Braconidae) from coffee fields using morphometric and molecular methods,,1,Primary,1,1,,1,Fruit flies,,0,3,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",21,,,,,1,1,,,1,UK,USA,,2,1,3,African Regional Postgraduate Programme in Insect Science (ARPPIS),ARPPIS Kenya,Kenya,,,,Dutch Government (DSO),DSO,Germany,"International Foundation for Science (IFS), Sweden ",IFS,Sweden,,,,
44,22,Kenya,East Africa,2006,Bull Entomol Res,,"Contribution of natural food sources to reproductive behaviour, fecundity and longevity of Ceratitis cosyra, C. fasciventris and C. capitata (Diptera: Tephritidae)",,1,Primary,1,1,,0,Fruit flies,,0,2,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",21,,,,,1,,Mauritius,2,2,,,,2,1,1,"ICIPE, Kenya",ICIPE Kenya,Kenya,international fund for agricultural development (ifad) kenya,IFAD Kenya,Kenya,,,,,,,,,,
45,22,Kenya,East Africa,2003,Mycopathologia,,"Pathogenicity of Metarhizium anisopliae (Metsch.) Sorokin and Beauveria bassiana (Balsamo) Vuillemin, to three adult fruit fly species: Ceratitis capitata (Weidemann), C. rosa var. fasciventris Karsch and C. cosyra (Walker) (Diptera :Tephritidae)",,1,Primary,1,1,,0,Fruit flies,,0,2,1,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",21,"Kenyatta University Nairobi, Kenya","KU Nairobi, Kenya",,,,,,,0,,,,4,1,3,African Regional Postgraduate Programme in Insect Science (ARPPIS),ARPPIS Kenya,Kenya,"ICIPE, Kenya","ICIPE, Kenya",,IFAD funded African Fruit Fly Initiative project (AFFI),IFAD,Italy,"DAAD, Germany",DAAD,Germany,,,,
46,22,Kenya,East Africa,2003,J Invertebr Pathol,,Effect of soil temperature and moisture on survival and infectivity of Metarhizium anisopliae to four tephritid fruit fly puparia,,1,Primary,1,1,,0,Fruit flies,,0,1,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",21,,,,,,,,,0,,,,1,1,1,"IFAD, Kenya",IFAD Kenya,Kenya,,,,,,,,,,,,,
47,22,Kenya,East Africa,2000,Bull Entomol Res,,"Parasitoids of medfly, Ceratitis capitata, and related tephritids in Kenyan coffee: a predominantly koinobiont assemblage",,1,Primary,1,1,,0,Fruit flies,,0,4,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",21,,,,,1,1,,,1,USA,,,6,1,3,"ICIPE, Kenya",ICIPE Kenya,Kenya,international fund for agricultural development (ifad) kenya,IFAD Kenya,Kenya,Tropical and Subtropical Agriculture Research ,TSTAR,USA,Caribbean Basin Administrative Group,CBAGG,,USDA/NRI,USDA/NRI,USA,
152,22,Kenya,East Africa,2020,BMC Microbiol,,"Influence of inoculated gut bacteria on the development of Bactrocera dorsalis and on its susceptibility to the entomopathogenic fungus, Metarhizium anisopliae",,1,1,1,1,,0,Fruit flies,"Gichuhi J, Khamis F, Van den Berg J, Mohamed S, Ekesi S, Herren JK.",0,2,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",21,,,,,,,,2,2,South Africa,,,8,1,3,the Government of the Republic of Kenya,,Kenya,,,,European Union Funded Integrated Biological Control Applied Research Program,,,the Wellcome trust,,UK,the Swedish International Development Cooperation Agency (Sida),SIDA,Swedene,
153,22,Kenya,East Africa,2020,Insects,,Landscape Vegetation Productivity Influences Population Dynamics of Key Pests in Small Avocado Farms in Kenya,,1,1,1,1,,0,Fruit flies,"Toukem NK, Yusuf AA, Dubois T, Abdel-Rahman EM, Adan MS, Mohamed SA.",0,2,0,"International Centre of Insect Physiology and Ecology Nairobi, Kenya","ICIPE Nairobi, Kenya",21,,,,,,,,2,2,UK,,,,0,0,,,,,,,,,,,,,,,,
48,30,Mauritius,East Africa,2014,J Insect Sci,,Effect of Metarhizium anisopliae on the fertility and fecundity of two species of fruit flies and horizontal transmission of mycotic infection,,1,Primary,1,1,,0,Fruit flies,"Sookar P, Bhagwant S, Allymamod MN.",0,2,1,"Ministry of Agro Industry & Food Security Republic of, Mauritius",Other Institutions,79,"University of Mauritius, Republic of Mauritius",UOM Mauritius,,,,,,,0,,,,,1,1,"Tertiary Education Commission, the University of Mauritius","TECUM, Mauritus",Mauritus,"Ministry of Agro Industry & Food Security, Republic of Mauritius ",MAIFSR Mauritius,Mauritius,,,,,,,,,,
49,30,Mauritius,East Africa,2014,Asian Pac J Trop Med. 2014 Sep;7S1:S384-90. doi: 10.1016/S1995-7645(14)60263-7.,,"A comparison of polyphenolic content, antioxidant activity and insecticidal properties of Jatropha species and wild Ricinus communis L. found in Mauritius",,1,Primary,1,1,,0,Fruit flies,"Rampadarath S, Puchooa D, Ranghoo-Sanmukhiya VM.",0,1,0,"University of Mauritius, Republic of Mauritius",Other Institutions,79,,,,,,,,,0,,,,,1,1,University of Mauritius,UM  Mauritius,Mauritus,"Ministry of Agro Industry & Food Security, Republic of Mauritius ",MAIFSR Mauritius,Mauritius,,,,,,,,,,
50,31,Morocco,North Africa,2019,Physiol Mol Biol Plants. 2019 Nov;25(6):1407-1418. doi: 10.1007/s12298-019-00713-0. Epub 2019 Oct 19.,,Changes in grapes composition during ripening of five Vitis vinifera L varieties as related to Tephritidae and Drosophilidae infestations,,1,Primary,1,1,,0,Fruit flies,"Jediyi H, Naamani K, Ait Elkoch A, Lemjiber N.",0,1,0,"Cadi Ayyad University, Morocco",Other Institutions,79,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
54,31,Morocco,North Africa,2008,J Genet. 2008 Dec;87(4):373-82. doi: 10.1007/s12041-008-0060-0.,,"Quantitative morphometrical analysis of a North African population of Drosophila melanogaster: sexual dimorphism, and comparison with European populations",,1,Primary,1,1,,0,Fruit flies,"Chakir M, Negoua H, Moreteau B, David JR.",0,1,0,"Cadi Ayyad University, Morocco",Other Institutions,79,,,,,1,1,,,1,France,,,,1,2,,,,,,,PICS between French CNRS and Moroccan CNRST,CNRS,France,,,,,,,
55,31,Morocco,North Africa,2007,Mutat Res. 2007 May 18;629(2):100-10. doi: 10.1016/j.mrgentox.2007.01.011. Epub 2007 Mar 1.,,Investigation of the mutagenic and antimutagenic effects of Origanum compactum essential oil and some of its constituents,,1,Primary,1,0,,1,Fruit flies,"Mezzoug N, Elhadri A, Dallouh A, Amkiss S, Skali NS, Abrini J, Zhiri A, Baudoux D, Diallo B, El Jaziri M, Idaomar M.",0,1,0,"University Abdelmalek Essaâdi, Morocco",Other Institutions,79,,,,,1,1,,,1,Belgium,,,,1,2,,,,,,,PRANAROM International Company,PRANAROM IC,Belgium,"Ministry of Wallone region, Belgium",MWRB,Belgium,,,,
56,31,Morocco,North Africa,2003,Insect Biochem Mol Biol. 2003 Jul;33(7):691-9. doi: 10.1016/s0965-1748(03)00063-8.,,The dual function of ovo/shavenbaby in germline and epidermis differentiation is conserved between Drosophila melanogaster and the olive fruit fly Bactrocera oleae,,1,Primary,0,1,,1,Fruit flies,"Khila A, El Haidani A, Vincent A, Payre F, Souda SI.",0,1,0,"Universite´ Sidi Mohammed Ben Abdellah, Morocco",Other Institutions,79,,,,,1,1,,,1,France,,,,1,3,Comite´ Mixte Inter-Universitaire Franco-Marocain,CMIU Morocco,Morocco,Association for Cancer Research,APRCC,,Universite´ Paul Sabatier,UPS,France,,,,,,,
57,31,Morocco,North Africa,2003,Food Chem Toxicol. 2003 Jan;41(1):41-7. doi: 10.1016/s0278-6915(02)00216-8.,,Antimutagenic properties of bell and black peppers,,1,Primary,1,0,,1,Fruit flies,"El Hamss R, Idaomar M, Alonso-Moraga A, MuÃ±oz Serrano A.",0,1,0,"University Abdelmalek Essaâdi, Morocco",Other Institutions,79,,,,,1,1,,,1,Spain,,,,1,1,Ministry of Higher Education,MHE Morocco,Morocco,"Scientific Research of Moroccan Kingdom, PROTARS",SRMK PROTARS Morocco,Morocco,,,,,,,,,,
58,31,Morocco,North Africa,2002,Mutat Res. 2002 Jan 15;513(1-2):61-8. doi: 10.1016/s1383-5718(01)00287-x.,,Genotoxicity and antigenotoxicity of some essential oils evaluated by wing spot test of Drosophila melanogaster,,1,Primary,1,0,,1,Fruit flies,"Idaomar M, El-Hamss R, Bakkali F, Mezzoug N, Zhiri A, Baudoux D, MuÃ±oz-Serrano A, Liemans V, Alonso-Moraga A.",0,1,0,"University Abdelmalek Essaâdi, Morocco",Other Institutions,79,,,,,1,1,,,1,Belgium,Spain,,,1,2,,,,,,,PRANAROM International Company,PRANAROM IC,Belgium,"Ministry of Wallone region, Belgium",MWRB,Belgium,,,,
59,31,Morocco,North Africa,2002,Ann Trop Med Parasitol. 2002 Sep;96(6):587-93. doi: 10.1179/000349802125001447.,,Potential of Origanum compactum as a cercaricide in Morocco,,1,Primary,1,1,,0,Fruit flies,Lahlou M.,0,1,0,"Hassan II University Ain Chock, Morocco",Other Institutions,79,,,,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
158,31,Morocco,North Africa,2020,Pharmaceuticals (Basel),,A Polyphenol-Rich Fraction from Eugenia uniflora Exhibits Antioxidant and Hepatoprotective Activities In Vivo,,1,1,1,0,USA,0,C. elegans,"Sobeh M, Hamza MS, Ashour ML, Elkhatieb M, El Raey MA, Abdel-Naim AB, Wink M.",0,6,0, Mohammed VI Polytechnic University,Other Institutions,79,,,,,,1,,2,3,,,,,0,0,,,,,,,,,,,,,,,,
51,31,Morocco,North Africa,2017,Bull Entomol Res. 2017 Apr;107(2):217-224. doi: 10.1017/S000748531600078X.,,"Insecticidal activity of a Moroccan strain of Streptomyces phaeochromogenes LD-37 on larvae, pupae and adults of the Mediterranean fruit fly, Ceratitis capitata (Diptera: Tephritidae)",,1,Primary,1,1,,0,Fruit flies,"Samri SE, Baz M, Ghalbane I, El Messoussi S, Zitouni A, El Meziane A, Barakate M.",0,1,0,"Cadi Ayyad University, Morocco",Other Institutions,79,,,,,1,1,,,1,Algeria,,,,1,3,Ministry of Higher Education of Morocco,MHEM Morocco,Morocco,,,,German Academic Exchange Service,DAAD,Germany,,,,,,,
52,31,Morocco,North Africa,2017,Zookeys. 2017 Sep 26;(702):137-171. doi: 10.3897/zookeys.702.13368. eCollection 2017.,,"First checklist of the fruit flies of Morocco, including new records (Diptera, Tephritidae)",,1,Primary,1,1,,0,Fruit flies,"Harym YE, Belqat B.",0,1,0,"University Abdelmalek Essaâdi, Morocco",Other Institutions,79,,,,,1,1,,,1,Ukraine,,,,0,0,,,,,,,,,,,,,,,,
53,31,Morocco,North Africa,2014,World J Microbiol Biotechnol. 2014 Mar;30(3):959-65. doi: 10.1007/s11274-013-1514-y.,,Pathogenicity of Beauveria bassiana isolated from Moroccan Argan forests soil against larvae of Ceratitis capitata (Diptera: Tephritidae) in laboratory conditions,,1,Primary,1,1,,0,Fruit flies,"Imoulan A, Elmeziane A.",0,1,0,"Cadi Ayyad University, Morocco",Other Institutions,79,,,,,,,,,0,,,,,1,2,,,,,,,PROTARS II grant,,,CNRST,CNRST,Morocco,,,,
155,31,Morocco,North Africa,2020,BMC Ecol,,Diversity of entomopathogenic fungi associated with Mediterranean fruit fly (Ceratitis capitata (Diptera: Tephritidae)) in Moroccan Argan forests and nearby area: impact of soil factors on their distribution,,1,1,1,1,,0,Fruit flies,"Hallouti A, Ait Hamza M, Zahidi A, Ait Hammou R, Bouharroud R, Ait Ben Aoumar A, Boubaker H.",0,2,1,"Ibn Zohr University, Morocco",Other Institutions,79,"Unité de Production Intégrée des Cultures, INRA",INRA,,,,,,,0,Turkey,USA,,1,1,1,the Moroccan National Centre for Scientific and Technical Research Scholarship,C.N.R.S.T,Morocco,,,,,,,,,,,,,
156,31,Morocco,North Africa,2020,Sci Rep,,Potential of Moroccan entomopathogenic nematodes for the control of the Mediterranean fruit fly Ceratitis capitata Wiedemann (Diptera: Tephritidae),,1,1,1,1,,0,Fruit flies,"Mokrini F, Laasli SE, Benseddik Y, Joutei AB, Blenzar A, Lakhal H, Sbaghi M, Imren M, Özer G, Paulitz T, Lahlali R, Dababat AA.",0,8,1,"Regional Center of Agricultural Research, INRA-Morocco",Other Institutions,79,Mohammed V University,,Moulay Ismail University,Ecole Nationale D’Agriculture de Meknes,"Head Quality and Postharvest Citrus Department, Delassus Group",1,,,1,UK,,,2,1,1,INRA-Morocco,,Morocco,Ecole Nationale d’Agriculture de Meknes,,Morocco,,,,,,,,,,
157,31,Morocco,North Africa,2020,Insects,,"Evaluation of Rearing Parameters of a Self-Limiting Strain of the Mediterranean Fruit Fly, Ceratitis capitata (Diptera: Tephritidae)",,1,1,1,1,,0,Fruit flies,"Elaini R, Asadi R, Naish N, Koukidou M, Ahmed M.",0,3,1,"Hassan II University Ain Chock, Morocco",Other Institutions,79,Omnium Agricole du Souss,,,,,1,,,1,EGYPT,Saudia Arabia,Germany,,0,0,,,,,,,,,,,,,,,,
60,32,Mozambique,East Africa,2017,Toxicon,,Evading plant defence: Infestation of poisonous milkweed fruits (Asclepiadaceae) by the fruit fly Dacus siliqualactis (Diptera: Tephritidae),,1,Primary,1,1,,0,Fruit flies,"Schneider M, Wunder C, Reuss E, Toennes SW, Mebs D.",0,1,0, Eduardo Mondlane University  Mozambique,Other Institutions,79,,,,,1,1,,,1,Germany,,,,1,2,,,,,,,"Centrum für Internationale Migration und Entwicklung (CIM), Frankfurt, Germany",CIME ,Germany,,,,,,,
61,35,Nigeria,West Africa,2020,Toxicol Rep. 2020 Jan 27;7:261-268. doi: 10.1016/j.toxrep.2020.01.015. eCollection 2020.,,Curcumin attenuates copper-induced oxidative stress and neurotoxicity in Drosophila melanogaster,,1,Primary,1,0,Brasil,0,Fruit flies,"Abolaji AO, Fasae KD, Iwezor CE, Aschner M, Farombi EO.",1,1,0,"University of Ibadan, Nigeria","UI, Nigeria",12,,,,,1,1,,,1,U.S.A,,,,1,2,,,,,,,"International Centre for Genetic Engineering and Biotechnology (ICGEB), Italy",ICGEB,Italy,National Institute of Health (NIH),NIH,USA,,,,
62,35,Nigeria,West Africa,2020,J Food Biochem. 2020 Jun 11:e13318. doi: 10.1111/jfbc.13318. Online ahead of print.,,"Modulatory effects of moringa (Moringa oleifera L.) leaves infested with African mistletoe (Tapinanthus bangwensis L.) on the antioxidant, antidiabetic, and neurochemical indices in high sucrose diet-induced diabetic-like phenotype in fruit flies (Drosophila melanogaster M.)",,1,Primary,1,0,USA,0,Fruit flies,"Oyeniran OH, Ademiluyi AO, Oboh G.",1,2,1,"Federal University of Technology, Akure, Nigeria","FUT Akure, Nigeria",11,Federal University Oye,"FUO Uye, Nigeria",,,,,,,0,,,,0,1,2,,,,,,,,,,,,,,,,
63,35,Nigeria,West Africa,2020,J Diet Suppl. 2020 Jun 4:1-15. doi: 10.1080/19390211.2020.1772441. Online ahead of print.,,Pleurotus ostreatus and Lentinus subnudus supplemented diets restore altered acetylcholinesterase and butyrylcholinesterase activities and improve antioxidant status in transgenic Drosophila melanogaster model,,1,Primary,1,1,,0,Fruit flies,"Agunloye OM, Oboh G, Falade AO.",1,2,1,"Federal University of Technology, Akure, Nigeria","FUT Akure, Nigeria",11,"University of Medical Sciences, Ondo","UMS Ondo, Nigeria",,,,,,,0,,,,0,1,2,,,,,,,,,,,,,,,,
64,35,Nigeria,West Africa,2020,Drug Chem Toxicol. 2020 Jan 3:1-10. doi: 10.1080/01480545.2019.1708377. Online ahead of print.,,Effect of Andrographis paniculata and Phyllanthus amarus leaf extracts on selected biochemical indices in Drosophila melanogaster model of neurotoxicity,,1,Primary,1,1,,0,Fruit flies,"Adedayo BC, Ogunsuyi OB, Akinniyi ST, Oboh G.",1,1,0,"Federal University of Technology, Akure, Nigeria","FUT Akure, Nigeria",11,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,
65,35,Nigeria,West Africa,2020,Food Chem Toxicol. 2020 Jun 3:111478. doi: 10.1016/j.fct.2020.111478. Online ahead of print.,,Luteolin-Supplemented Diets Ameliorates Bisphenol A-Induced Toxicity in Drosophila melanogaster,,1,Primary,1,1,,0,Fruit flies,"Adesanoye OA, Abolaji AO, Faloye TR, Olaoye HO, Adedara AO.",1,1,0,"University of Ibadan, Nigeria","UI, Nigeria",12,,,,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,
66,35,Nigeria,West Africa,2020,J Food Biochem. 2020 Jan 16:e13150. doi: 10.1111/jfbc.13150. Online ahead of print.,,"Solanum vegetable-based diets improve impairments in memory, redox imbalance, and altered critical enzyme activities in Drosophila melanogaster model of neurodegeneration",,1,Primary,1,0,USA,0,Fruit flies,"Ogunsuyi OB, Oboh G, Ã–zek G, GÃ¶ger F.",1,1,0,"Federal University of Technology, Akure, Nigeria","FUT Akure, Nigeria",11,,,,,1,1,,,1,Turkey,,,0,0,0,,,,,,,,,,,,,,,,
67,35,Nigeria,West Africa,2020,Comput Struct Biotechnol J. 2020 Mar 10;18:612-621. doi: 10.1016/j.csbj.2020.02.022. eCollection 2020.,,Essential gene prediction in Drosophila melanogaster using machine learning approaches based on sequence and functional features,,1,Primary,0,3,,0,Fruit flies,"Aromolaran O, Beder T, Oswald M, Oyelade J, Adebiyi E, Koenig R.",1,1,0,"Covenant University, Nigeria",Other Institutions,79,,,,,1,1,,,1,Germany,,,,1,2,,,,,,,Deutsche Forschungsgemein-schaft,DFS,Germany,,,,,,,
68,35,Nigeria,West Africa,2020,Drug Chem Toxicol. 2020 Jun 16:1-10. doi: 10.1080/01480545.2020.1773845. Online ahead of print.,,Characterization and neuroprotective properties of alkaloid extract of Vernonia amygdalina Delile in experimental models of Alzheimer's disease,,1,Primary,1,0,USA,1,Fruit flies,"Oboh G, Adedayo BC, Adetola MB, Oyeleye IS, Ogunsuyi OB.",1,1,0,"Federal University of Technology, Akure, Nigeria","FUT Akure, Nigeria",11,,,,,,,,,0,,,,Tertiary Educational Trust Fund (TETfund),1,1,,,,,,,,,,,,,,,,
69,35,Nigeria,West Africa,2020,,,"Comparative study of the phenolic profile, antioxidant properties, and inhibitory effects of Moringa (Moringa oleifera Lam.) and Almond (Terminalia catappa Linn.) leaves on acetylcholinesterase and monoamine oxidase activities in the head region of Fruitfly (Drosophila melanogaster Meigen) in vitro",,1,Primary,1,0,USA,0,Fruit flies,"Oyeniran OH, Ademiluyi AO, Oboh G.",1,2,1,"Federal University of Technology, Akure, Nigeria","FUT Akure, Nigeria",11,Federal University of Oye,"FUO Uye, Nigeria",,,,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,
70,35,Nigeria,West Africa,2019,Biomed J. 2019 Oct;42(5):317-327. doi: 10.1016/j.bj.2019.01.005. Epub 2019 Oct 31.,,Influence of gallic and tannic acid on therapeutic properties of acarbose inÂ vitro and inÂ vivo in Drosophila melanogaster,,1,Primary,1,1,,0,Fruit flies,"Oboh G, Ogunsuyi OB, Adegbola DO, Ademiluyi AO, Oladun FL.",1,1,0,"Federal University of Technology, Akure, Nigeria","FUT Akure, Nigeria",11,,,,,,,,,0,,,,0,1,2,,,,,,,"Prince of Songkla University, Thailand",GSPSU,Thailand,,,,,,,
71,35,Nigeria,West Africa,2019,Pestic Biochem Physiol. 2019 Jun;157:161-168. doi: 10.1016/j.pestbp.2019.03.017. Epub 2019 Mar 28.,,Possible involvement of transcriptional activation of nuclear factor erythroid 2-related factor 2 (Nrf2) in the protective effect of caffeic acid on paraquat-induced oxidative damage in Drosophila melanogaster,,1,Primary,0,0,USA,0,Fruit flies,"Dos Santos Nunes RG, Pereira PS, Elekofehinti OO, Fidelis KR, da Silva CS, Ibrahim M, Barros LM, da Cunha FAB, Lukong KE, de Menezes IRA, Tsopmo A, Duarte AE, Kamdem JP.",1,1,0,"Federal University of Technology, Akure, Nigeria","FUT Akure, Nigeria",11,,,,,1,1,,,1,Brazil,Pakistan,Canada,,1,2,,,,,,, (PIBIC/ URCA),PIBIC/URCA,Brazil,The World Academy of Sciences,TWAS,Italy,The World Academy of Sciences,TWAS,Italy,
72,35,Nigeria,West Africa,2019,Exp Biol Med (Maywood). 2019 Dec;244(18):1688-1694. doi: 10.1177/1535370219890334. Epub 2019 Nov 25.,,"Protective role of resveratrol, a natural polyphenol, in sodium fluoride-induced toxicity in Drosophila melanogaster",,1,Primary,1,1,,0,Fruit flies,"Abolaji AO, Ajala VO, Adigun JO, Adedara IA, Kinyi HW, Farombi EO.",1,1,0,"University of Ibadan, Nigeria","UI, Nigeria",12,,,,,1,,Uganda,2,2,,,,,1,2,,,,,,,Company of Biologists/ DrosAfrica (UK),COB,UK,Cambridge-Africa Alborada Research Funds U.K,CAARF,UK,,,,
73,35,Nigeria,West Africa,2018,Biochem Biophys Res Commun. 2018 Sep 5;503(2):1042-1048. doi: 10.1016/j.bbrc.2018.06.114. Epub 2018 Jun 27.,,"Resveratrol prolongs lifespan and improves 1-methyl-4-phenyl-1,2,3,6-tetrahydropyridine-induced oxidative damage and behavioural deficits in Drosophila melanogaster",,1,Primary,1,0,USA,0,Fruit flies,"Abolaji AO, Adedara AO, Adie MA, Vicente-Crespo M, Farombi EO.",1,1,0,"University of Ibadan, Nigeria","UI, Nigeria",12,,,,,1,1,,,1,Uganda,UK,,,1,2,,,,,,,International Society for Neurochemistry,ISN,USA,"Company of Biologists, UK",CB Uk,UK,"Cambridge Africa Alborada Research Funds, UK",CARF,UK,
74,35,Nigeria,West Africa,2018,Oxid Med Cell Longev. 2018 Dec 30;2018:8952646. doi: 10.1155/2018/8952646. eCollection 2018.,,Effect of Alkaloid Extract from African Jointfir (Gnetum africanum) Leaves on Manganese-Induced Toxicity in Drosophila melanogaster,,1,Primary,1,1,,0,Fruit flies,"Oboh G, Ogunsuyi OB, Awonyemi OI, Atoki VA.",1,1,0,"Federal University of Technology, Akure, Nigeria","FUT Akure, Nigeria",11,,,,,,,,,0,,,,,1,2,,,,,,,The World Academy of Sciences,TWAS,Italy,,,,,,,
