Article S/N,Country Code,Country,Region,Date,Journal,Title,Full Article,Primary or review article,Was the work done locally?,Were the flies sourced locally?,"If sourced abroad, where?",Is it transgenic?,Family,A,Is it Neuroscience oriented?,Number of affiliated institutions,Intra collaboration,Name of local institution 1,,Name of local institution 2,,Name of local institution 3,Name of local institution 4,External collaboration 1,EC,Internal Colaboration,IC,IEC,Country of external collaboration 1,Country of external collaboration 2,Country of external collaboration 3,Number of Funders,Funded/Not funded,Fund,Local Funder 1,Local Funder_1,Local Funder_1_Country,Local Funder 2,Local Funder_2,Local Funder_2_Country,International Funder 1,International Funder_1,International Funder_1_Country,International Funder 2,International Funder_2,International Funder_2_Country,International Funder 3,International Funder_3,International Funder_3_Country,
10,3,Benin,West Africa,2007,J Econ Entomol,"Effects of an African Weaver Ant, Oecophylla Longinoda, in Controlling Mango Fruit Flies (Diptera: Tephritidae) in Benin",1,Primary,1,1,,0,Tephritidae,"Paul Van Mele , Jean-François Vayssières, Esther Van Tellingen, Jan Vrolijks",0,3,1,"Africa Rice Center WARDACotonou, Republic of Benin",ARC  WARDA Benin,"nternational Institute of Tropical Agriculture, Cotonou, Republic of Benin","IITA Cotonou, Benin",,,1,1,,,1,FRANCE,,,4,1,2,,,,,,,"Conservation, Food and Health Foundation",CFHF,USA,Africa Rice Center (WARDA),ARC WARDA,Côte d’Ivoire, International Institute of Tropical Agriculture (IITA),IITA,Nigeria,
,3,Benin,West Africa,2019,Environ Entomol,"Fruit Preference, Parasitism, and Offspring Fitness of Fopius Arisanus (Hymenoptera: Braconidae) Exposed to Bactrocera Dorsalis' (Diptera: Tephritidae) Infested Fruit Species",1,Primary,1,0,CAMEROON,0,Tephritidae,"S Nanga Nanga , R Hanna , D Gnanvossou , A Fotso Kuate , K K M Fiaboe , C Djieto-Lordon ",1,3,0,"International Institute of Tropical Agriculture Cotonou, Republic of Benin","IITA Cotonou, Benin","International Institute of Tropical Agriculture  Yaoundé, Cameroon","IITA  Yaoundé, Cameroon",,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,
,,,,2018,Insects,Detection of Volatile Constituents From Food Lures by Tephritid Fruit Flies,1,Primary,1,0,SWEDEN,0,Tephritidae,"Tibebe Dejene Biasazin , Haimanot Teklemariam Chernet , Sebastian Larsson Herrera , Marie Bengtsson , Miriam Frida Karlsson , Joelle Kristin Lemmen-Lechelt , Teun Dekker ",0,3,0,"International Institute of Tropical Agriculture Cotonou, Republic of Benin","IITA Cotonou, Benin",Swedish University of Agricultural Sciences,,,,1,1,,,1,Sweden,,,,,,,,,,,,,,,,,,,,,
11,6,Cameroon,Central Africa,2017,BMC Complement Altern Med,Phytochemical analysis and in vitro anthelmintic activity of Lophira lanceolata (Ochnaceae) on the bovine parasite Onchocerca ochengi and on drug resistant strains of the free-living nematode Caenorhabditis elegans,1,Primary,1,0,USA,1,Rhabditidae,,0,1,0,"University of Ngaoundéré, Cameroon","UN Ngaoundéré, Cameroon",,,,,1,1,Cameron,2,3,Germany,,,,0,0,,,,,,,,,,,,,,,,
12,6,Cameroon,Central Africa,2017,Molecules,Anti-Onchocerca and Anti-Caenorhabditis Activity of a Hydro-Alcoholic Extract from the Fruits of Acacia nilotica and Some Proanthocyanidin Derivatives,1,Primary,1,0,USA,1,Rhabditidae,,0,1,0,"University of Ngaoundéré, Cameroon","UN Ngaoundéré, Cameroon",,,,,1,1,,,1,Germany,,,4,1,3,Cameroonian-German Cooperation Project,CGCP Cameroun,Cameroun,,,,German Academic Exchange Service,DAAD,Germany,Alexander von Humboldt Foundation,AVHF,Germany,Deutsche Forschungsgemein-schaft,DFS,Germany,
13,6,Cameroon,Central Africa,2011,J Helminthol,In vitro activity of Cameroonian and Ghanaian medicinal plants on parasitic (Onchocerca ochengi) and free-living (Caenorhabditis elegans) nematodes,1,Primary,1,0,USA,0,Rhabditidae,,0,3,1,"Institute of Agricultural Research for Development, Cameroon",IARD Cameroon,"University of Ngaoundéré, Cameroon.","UN Ngaoundéré, Cameroon",University of Maroua,UM,1,1,Ghana,2,3,Germany,,,3,1,2,,,,,,,Alexander von Humboldt Foundation,AVHF,Germany,German Academic Exchange Service (DAAD),GAES DAAD,Germany,Deutsche Forschungsgemein-schaft,DFS,Germany,
14,6,Cameroon,Central Africa,2014,J Helminthol,Anthelmintic activity of phenolic acids from the axlewood tree Anogeissus leiocarpus on the filarial nematode Onchocerca ochengi and drug-resistant strains of the free-living nematode Caenorhabditis elegans,1,Primary,1,0,USA,1,Rhabditidae,,0,2,1,"Institute of Agricultural Research for Development, Cameroon",IARD Cameroon,"University of Ngaoundéré, Cameroon.",,,,1,1,,,1,Germany,,,2,1,2,,,,,,,Alexander von Humboldt Foundation,AVHF,Germany,Deutsche Forschungsgemeinschaft,DFS,Germany,,,,
15,6,Cameroon,Central Africa,2012,Vet Parasitol,Anogeissus leiocarpus extract on the parasite nematode Onchocerca ochengi and on drug resistant mutant strains of the free-living nematode Caenorhabditis elegans,1,Primary,1,0,USA,1,Rhabditidae,,0,2,1,"University of Ngaoundéré, Cameroon",UN Cameroon,"University of Maroua, Cameroun","UM Maroua, Cameroon",,,1,1,,,1,Germany,,,2,1,2,,,,,,,Alexander von Humboldt Foundation,AVHF,Germany,Deutsche Forschungsgemeinschaft,DFS,Germany,,,,
16,6,Cameroon,Central Africa,2019,Environ Entomol,"Fruit Preference, Parasitism, and Offspring Fitness of Fopius Arisanus (Hymenoptera: Braconidae) Exposed to Bactrocera Dorsalis' (Diptera: Tephritidae) Infested Fruit Species",1,Primary,1,1,,0,Tephritidae,"S. Nanga Nanga,R. Hanna,D. Gnanvossou, A. Fotso Kuate, K. K. M. Fiaboe, and C. Djieto-Lordon",0,3,1,"International Institute of Tropical Agriculture Yaoundé, Cameroon","IITA Yaoundé, Cameroon","University of Yaounde, Yaoundé, Cameroon","UY Yaoundé,Cameroon",,,1,,Benin,2,2,,,,2,1,3,Federal Ministry for Economic Cooperation and Development Cameroun,FMFECD Cameroun,,,,, International Institute of Tropical Agriculture (IITA),IITA,Nigeria,,,,,,,
17,14,Egypt,North Africa,2018,Environ Sci Pollut Res Int ,"Effects of monoterpenes on mortality, growth, fecundity, and ovarian development of Bactrocera zonata (Saunders) (Diptera: Tephritidae).",1,Primary,1,1,,0,Tephritidae,,1,2,0,"Assiut University Assiut, Egypt","AU Assiut, Egypt","Agricultural Research Center, Giza, Egypt ","ARC Giza, Egypt",,,,,,,0,,,,,0,0,,,,,,,,,,,,,,,,
